point_id,observed_probability,residual_shape,concentration,reset_observed_probability,hazard,innovation_l2,surprise,gain,update_l2,information_gain,change_probability,allocation
5,0.05,0.5,2.0,0.95,0.15,1.1635076278220096,2.995732273553991,0.3333333333333333,0.3878358759406699,1.6491929980444475,0.7702702702702702,1
10,0.05,0.5,8.0,0.95,0.01,1.1635076278220096,2.995732273553991,0.1111111111111111,0.1292786253135566,0.793706251013266,0.16101694915254236,4
13,0.05,0.5,32.0,0.05,0.15,1.1635076278220096,2.995732273553991,0.030303030303030304,0.03525780690369727,0.2655001957924723,0.15,1
16,0.05,0.5,32.0,0.95,0.01,1.1635076278220096,2.995732273553991,0.030303030303030304,0.03525780690369727,0.2655001957924723,0.16101694915254236,4
120,0.35,0.9,2.0,0.05,0.01,0.8768979416100827,1.0498221244986778,0.3333333333333333,0.29229931387002756,0.3355856642737046,0.0014409221902017292,1
123,0.35,0.9,2.0,0.5,0.15,0.8768979416100827,1.0498221244986778,0.3333333333333333,0.29229931387002756,0.3355856642737046,0.20134228187919462,3
125,0.35,0.9,2.0,0.95,0.15,0.8768979416100827,1.0498221244986778,0.3333333333333333,0.29229931387002756,0.3355856642737046,0.32386363636363635,2
128,0.35,0.9,8.0,0.5,0.01,0.8768979416100827,1.0498221244986778,0.1111111111111111,0.09743310462334258,0.10687049253534275,0.014224751066856332,1
129,0.35,0.9,8.0,0.5,0.15,0.8768979416100827,1.0498221244986778,0.1111111111111111,0.09743310462334258,0.10687049253534275,0.20134228187919462,7
130,0.35,0.9,8.0,0.95,0.01,0.8768979416100827,1.0498221244986778,0.1111111111111111,0.09743310462334258,0.10687049253534275,0.026685393258426966,5
143,0.35,0.9,128.0,0.95,0.15,0.8768979416100827,1.0498221244986778,0.007751937984496124,0.0067976584620936574,0.007218032071614644,0.32386363636363635,2
197,0.9,0.5,2.0,0.95,0.15,0.12247448713915887,0.10536051565782628,0.3333333333333333,0.0408248290463862,0.023123169408776692,0.15702479338842976,7
201,0.9,0.5,8.0,0.5,0.15,0.12247448713915887,0.10536051565782628,0.1111111111111111,0.013608276348795313,0.006640070861282682,0.08928571428571429,4
207,0.9,0.5,32.0,0.5,0.15,0.12247448713915887,0.10536051565782628,0.030303030303030304,0.0037113480951260457,0.0017170260888290656,0.08928571428571429,2
211,0.9,0.5,128.0,0.05,0.15,0.12247448713915887,0.10536051565782628,0.007751937984496124,0.000949414628985708,0.00043283472005928303,0.00970873786407767,1
