first_candidate,second_candidate,best_pure_candidate,best_pure_affine_residual,true_pair_affine_residual,crossfit_oracle_log_score_gap_index,below_five_nat_power_index
innovation_l2,surprise,surprise,0.06476225526808417,2.5106422755032005e-31,1.8825461925239708,True
innovation_l2,gain,update_l2,0.2377395072664464,1.8957570419251692e-31,6.398602138782985,False
innovation_l2,update_l2,update_l2,0.2576905807957704,6.575124830138023e-32,6.878315004395995,False
innovation_l2,information_gain,information_gain,0.22866732483457436,2.3189189901515054e-31,6.177903187677524,False
innovation_l2,change_probability,change_probability,0.2715733105685233,1.2703433913178208e-31,7.2076488292956435,False
surprise,gain,update_l2,0.3334070092601475,3.315809387586691e-31,8.632119836108483,False
surprise,update_l2,update_l2,0.2882713806954706,6.993725703550589e-31,7.599039143577237,False
surprise,information_gain,information_gain,0.17513118479245662,1.4426499236756656e-31,4.841393639879367,True
surprise,change_probability,change_probability,0.24059459272699613,1.431864715987097e-31,6.467723248570308,False
gain,update_l2,gain,0.15154391801250797,2.865420764592673e-31,4.233107381393687,True
gain,information_gain,update_l2,0.24549715570701747,3.96330703488968e-31,6.586043161858336,False
gain,change_probability,gain,0.719444663119841,2.762008232078141e-31,16.260041052371072,False
update_l2,information_gain,update_l2,0.13734921104922596,1.9408238026238305e-31,3.861009040227646,True
update_l2,change_probability,update_l2,0.6095014120398538,1.0145670551702333e-30,14.277733472165602,False
information_gain,change_probability,change_probability,0.4585249642762335,3.867138932999944e-31,11.322768797515211,False
